ID,NAME,BIOGRAPHY
1,Joanne Rowling,British author and philanthropist
2,Oscar Wilde,Irish poet and playwright
3,Hans Christian Andersen,"Danish author, although a prolific writer of plays, travelogues, novels, and poems"
4,Ernest Hemingway,"American novelist, short-story writer, and journalist"
5,Antoine de Saint-Exupéry,"French writer, poet, journalist and pioneering aviator"
